Source,Region,SubRegion,Country/Territory,DrugGroup,Drug,DrugState,LevelOfSale,Year,Typical price,Minimum price,Maximum price,Unit,Currency
ARQ,Americas,Central America,Guatemala,Cocaine-type,Cocaine,,Wholesale,2018,71275.20,70000.00,74000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,Central America,Guatemala,Cocaine-type,Cocaine,,Wholesale,2017,71275.00,70000.00,74000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,Central America,Guatemala,Cocaine-type,Cocaine,,Wholesale,2017,102741.00,100000.00,115000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,Central America,Guatemala,Opioids,Heroin,,Wholesale,2019,386135.17,350000.00,400000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,Central America,Guatemala,Opioids,Heroin,,Wholesale,2017,382000.00,380000.00,385000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,Central America,Honduras,Cannabis-type drugs,Cannabis herb (marijuana),,Street,2019,20.00,10.00,40.00,Unit,"National currency (not EUR, USD or CHF)"
ARQ,Americas,Central America,Honduras,Cannabis-type drugs,Cannabis herb (marijuana),,Wholesale,2019,65.00,43.00,87.00,Pound,USA
ARQ,Americas,Central America,Honduras,Cannabis-type drugs,Cannabis herb (marijuana),,Street,2018,3.20,1.60,6.40,Gram,USA
ARQ,Americas,Central America,Honduras,Cannabis-type drugs,Cannabis herb (marijuana),,Street,2017,3.20,1.60,6.40,Gram,USA
ARQ,Americas,Central America,Honduras,Cannabis-type drugs,Cannabis herb (marijuana),,Wholesale,2016,65.00,43.00,87.00,Pound,USA
ARQ,Americas,Central America,Honduras,Cannabis-type drugs,Cannabis herb (marijuana),,Street,2016,30.00,10.00,40.00,Cigarette,"National currency (not EUR, USD or CHF)"
